ID,INDUSTRY_ID,NAME,PARENT_ID,LEVEL_TYPE,DESCRIPTION,NAME_EN,DESCRIPTION_EN
1,A,农、林、牧、渔业,,0.0,本门类包括 01～05 大类,"Agriculture, Forestry, Animal Husbandry and Fishery",This category includes major categories 01 to 05.
2,01,农业,A,1.0,指对各种农作物的种植,Agriculture,Refers to the cultivation of various crops.
3,011,谷物种植,01,2.0,指以收获籽实为主的农作物的种植，包括稻 谷、小麦、玉米等农作物的种植和作为饲料和工业原料的谷物的种植,Grain Cultivation,
4,0111,稻谷种植,011,3.0,,Rice Cultivation,
5,0112,小麦种植,011,3.0,,Wheat Cultivation,
6,0113,玉米种植,011,3.0,,Corn Cultivation,
7,0119,其他谷物种植,011,3.0,,Other Grain Cultivation,
8,012,豆类、油料和薯类种植,01,2.0,,"Legume, Oilseed and Tuber Cultivation",
9,0121,豆类种植,012,3.0,,Legume Cultivation,
10,0122,油料种植,012,3.0,,Oilseed Cultivation,
11,0123,薯类种植,012,3.0,,Tuber Cultivation,
12,013,棉、麻、糖、烟草种植,01,2.0,,"Cotton, Hemp, Sugar and Tobacco Cultivation",
13,0131,棉花种植,013,3.0,,Cotton Cultivation,
14,0132,麻类种植,013,3.0,,Hemp Cultivation,
15,0133,糖料种植,013,3.0,指用于制糖的甘蔗和甜菜的种植,Sugar Crop Cultivation,
16,0134,烟草种植,013,3.0,,Tobacco Cultivation,
17,014,蔬菜、食用菌及园艺作物种植,01,2.0,,"Vegetable, Edible Mushroom and Horticultural Crop Cultivation",
18,0141,蔬菜种植,014,3.0,,Vegetable Cultivation,
19,0142,食用菌种植,014,3.0,,Edible Mushroom Cultivation,
20,0143,花卉种植,014,3.0,,Flower Cultivation,
21,0149,其他园艺作物种植,014,3.0,,Other Horticultural Crop Cultivation,
22,015,水果种植,01,2.0,,Fruit Cultivation,
23,0151,仁果类和核果类水果种植,015,3.0,指苹果、梨、桃、杏、李子等水果种植,Pome and Stone Fruit Cultivation,
24,0152,葡萄种植,015,3.0,,Grape Cultivation,
25,0153,柑橘类种植,015,3.0,,Citrus Cultivation,
26,0154,香蕉等亚热带水果种植,015,3.0,指香蕉、菠萝、芒果等亚热带水果种植,Banana and Other Subtropical Fruit Cultivation,
27,0159,其他水果种植,015,3.0,,Other Fruit Cultivation,
28,016,坚果、含油果、香料和饮料作物种植,01,2.0,,"Nut, Oil-bearing, Spice, and Beverage Crop Cultivation",
29,0161,坚果种植,016,3.0,,Nut Cultivation,
30,0162,含油果种植,016,3.0,指椰子、橄榄、油棕榈等的种植,Oil-bearing Crop Cultivation,
31,0163,香料作物种植,016,3.0,,Spice Crop Cultivation,
32,0164,茶叶种植,016,3.0,,Tea Cultivation,
33,0169,其他饮料作物种植,016,3.0,,Other Beverage Crop Cultivation,
34,017,中药材种植,01,2.0,指主要用于中药配制以及中成药加工的药材作物的种植,Traditional Chinese Medicinal Herb Cultivation,
35,0171,中药材种植,017,3.0,指主要用于中药配制以及中成药加工的各种中草药材作物的种植,Traditional Chinese Medicinal Herb Cultivation,
